Community,ApartmentLayout,Area,Floor,ConstructionYear,TotalPrice,UnitPrice,Orientation,RenovationDegree,Elevator,PlotRatio,GreeneryRate,PropertyFee,DistanceToWasteStation_km,SurroundingBusLines_05km,SurroundingSchools_1km,DistanceToSubway_km,DistanceToBusinessDistrict_km,DistanceToPark_km,AgentSafetyScore,AgentComfortScore,AgentValueForMoneyScore,AgentLocationScore,AgentFutureAppreciationScore,AgentEnvironmentalScore,AgentPropertyServiceScore
1,1,84,6,2012,106,12476,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.67,2.5,3,3,3,3.5,2.75
1,2,120,6,2010,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,5,3.5,5,5,5,5,5
1,1,84,6,2012,106,12476,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.67,3,3.5,3,3,5,3.75
1,2,120,6,2012,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,4,4,3.5,3.33,3.5,3.75
2,3,88,16,2008,115,12939,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3.5,3.5,3,3,4.5,4
2,4,62,18,2014,73,11774,1,3,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,4.5,5,5,5,5,5
2,1,78,6,2014,100,12775,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2,1.5,1.5,3,5,3.75
2,1,78,6,2012,85,10858,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,2,4,3,3,5,3
2,1,76,6,2012,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,3.5,4.5,4,5,5,4.25
2,1,78,6,2011,90,11497,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,1,4,4,4.33,3.5,3
2,1,76,6,2012,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,3,3.5,3.5,3.33,1.5,3.75
2,1,76,6,2008,90,11842,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2.5,4,3,4,2.5,2.5
2,1,78,6,2013,94,12008,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,2.5,3.5,3.67,3.5,3.25
2,3,88,18,2010,112,12601,2,3,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,1.5,2,2,4.67,3.5,3.5
2,3,88,18,2014,88,9901,2,3,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.67,3,3.5,4.5,3.33,4.5,4.25
2,4,63,21,2010,67,10635,2,2,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2,2.5,2.5,3.67,4,4.75
2,1,91,18,2010,110,11983,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,1.5,3.5,5,4.67,5,2.75
2,4,78,18,2012,93,11880,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,1,1,1,1,1,1,3
2,1,78,6,2013,92,11753,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2,2.5,3,3.67,4,3
2,5,128,6,2000,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,4,3.5,4,2,4.5,3.25
2,1,78,21,2010,86,10986,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,2,3.5,3,3.33,2.5,2.75
2,1,76,6,2010,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,3,2.5,4.5,3.33,3,3
2,1,81,6,2010,99,12222,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,5,5,2.5,3.33,5,3
2,1,78,6,2010,95,12136,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3.5,2.5,3,2,3,3
2,1,78,6,2009,93,11880,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,2,3,4,3,3.5
2,1,81,6,2010,92,11358,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2,4,4,5,5,4
2,1,80,6,2002,95,11875,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,1,5,5,4,4.5,4
2,1,78,6,2012,88.8,11344,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,2.5,3,2.67,3,3.75
2,1,78,6,2012,84,10731,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,3,4.5,3,4,5,4
2,2,88,6,2014,108,12273,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,2,2,2.5,2.33,5,3.25
2,2,78,6,2010,110,14052,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2.5,4,3.5,4,4,4
2,5,128,6,2010,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,2,4,2.5,3.33,4.5,4
2,1,81,6,2012,99,12222,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,3,3.5,3.5,5,5,4
2,1,81,6,2010,100,12346,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,2,3,3,3,3,3.75
2,6,118,6,2012,124,10508,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,1.5,2.5,4,3.33,5,3.75
2,1,71,18,2011,74,10423,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,1.5,3,3,3,5,3
2,1,92,18,2012,95,10326,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2.5,3.5,4,3.67,5,4
2,1,76,6,2013,91,11835,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,2.5,3,3,4,5,4
2,1,78,6,2010,90,11505,1,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,3,5,5,5,5,4.5
2,1,81,6,2011,100,12346,1,3,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,3,3.5,4,3.67,5,3
2,1,78,6,2012,92,11753,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,4,3,2,3.67,3,4
2,4,78,18,2012,75,9581,2,2,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.67,3,3.5,3.5,4,5,4
2,1,78,6,2010,85,10858,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,3,2.5,3,3,3
2,1,78,6,2012,90,11497,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,3,3,3.67,4,3.5
2,2,92,6,2012,110,11957,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,1.5,2.5,2,3,5,2.75
2,1,81,6,2010,101,12469,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2,2,3.5,3.67,2.5,3.25
2,1,62,6,2012,70,11205,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2.5,4.5,4,2.67,3,3.25
2,1,77,18,2008,87,11210,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3,3,3.5,3.33,5,5
2,1,78,6,2009,88,11242,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,1.5,2.5,2.5,3.33,5,3.25
2,1,70,6,2013,78,10995,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,3,5,3.5,5,5,5
2,2,92,24,2010,96,10435,2,4,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,4.5,4.5,4.5,4.67,3,4
2,1,78,6,2010,86,10986,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3,3,3,3,3
2,1,62,18,2013,68,10885,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2,2,3,3,4,3
2,4,62,18,2010,70,11240,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,1.5,3,4,4,5,3.5
2,1,78,6,2013,100,12775,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,2.5,3.5,3.5,3.67,3.5,3.25
2,1,76,6,2008,90,11842,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,2,2.5,3,3.33,5,3.25
2,1,78,6,2012,89,11369,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,2.5,3,1,3,5,4
2,2,96,6,2010,108,11250,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2,4.5,3,3.33,4.5,3.25
2,1,91,18,2010,110,11983,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,2,3.5,4,2.67,3.5,3.5
2,4,78,18,2012,95,12136,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,4,4,4,4.33,5,4
2,5,128,6,2009,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3,4,3,4.33,5,4
2,1,76,6,2000,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,2,3,3,3.67,4.5,3.75
2,1,81,6,2008,99,12222,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2,3.5,3,3,5,3.25
2,1,78,6,2012,85,10858,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,2.5,4,3.5,4,5,4.75
2,1,76,6,2011,85,11055,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1,4,4,3.33,3.5,3
2,1,92,18,2012,95,10326,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2,5,3,4,4.5,3.75
2,4,78,18,2012,75,9581,2,2,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2,2,3,3,3,3
2,2,78,6,2010,110,14052,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,4,3,2.5,3,3,3.75
2,5,128,6,2000,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2.5,3,2.5,3,3,4.5
2,6,118,6,2012,124,10508,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2,2,3,3,5,2.75
2,1,78,6,2012,100,12775,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3.5,4,4,4,5,4.25
2,1,78,6,2013,89,11369,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,2,1.5,3,2,4,3.5
2,1,78,6,2012,90,11497,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,2.5,3,2.5,3,4.5,3.5
2,1,81,6,2009,98,12099,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,2,3,2.67,2.5,4
2,1,71,18,2011,74,10423,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,5,5,5,5,5,5
2,1,80,6,2002,95,11875,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2.5,4,3,2.67,5,3
2,1,88,18,2015,96,10801,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.67,2,4,5,4,5,3
2,4,78,18,2012,75,9581,2,2,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.33,1.5,3,3.5,3.67,4,3.5
2,1,78,6,2012,88.8,11344,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,3,3,3,3.67,3,3
2,1,78,6,2012,84,10731,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3,5,4.5,4.67,5,4.5
2,2,92,6,2012,110,11957,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,1.5,1,3.5,2.33,5,3.25
2,1,78,6,2012,100,12775,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2,1.5,3,4,3,3,2.25
2,1,78,6,2013,89,11369,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,1,2,1,1,1,1,1
2,1,78,6,2012,90,11497,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.33,2,4,3,3,4.5,3.75
2,1,62,6,2012,70,11205,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2.5,3.5,3.5,4,4.5,3.5
2,1,82,6,2013,101,12317,1,3,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,1.5,2.5,4.5,4,5,4
2,2,87,6,2011,110,12644,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,3,5,3.5,4.67,5,4
2,1,78,6,2010,86,10986,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2.5,4,4.5,4.67,2.5,4
2,1,78,6,2014,92,11753,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.33,2.5,3,2.5,3.67,5,3.75
2,2,92,24,2010,96,10435,2,4,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2,2.5,3,3,5,3.25
2,1,77,18,2008,87,11210,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3.5,3,3,3.5,3.75
2,1,78,6,2009,88,11242,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3,3.5,2.33,5,3.75
2,1,70,6,2013,78,10995,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,2.5,4,2,3,3,3.75
2,1,62,18,2013,68,10885,1,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3.67,2,3,3.5,3.33,2,3.25
2,5,128,6,2000,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,5,5,5,4.5,4,5,5
2,1,76,6,2000,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,2,1.5,4,4.33,5,4.5
2,1,92,18,2012,95,10326,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3.5,3.5,3,3,3,3
2,1,64,18,2014,72,11250,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4.67,3,4,5,3,5,4.25
2,4,62,18,2014,68,10968,2,1,1,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3,4,3,2,4
2,1,78,6,2012,85,10858,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,2.67,2.5,2.5,2.5,3,3,3.25
2,1,81,6,2014,101,12469,2,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3,3,2.67,3.5,2.75
2,5,128,6,2000,122,9531,1,4,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,3.5,3.5,3,3.67,4,3.25
2,1,76,6,2000,90,11842,2,2,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,3,4,4,3.5,2.25
2,1,81,6,2010,101,12469,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,3,3,2,2,2,2,3
2,1,81,6,2009,95,11728,1,1,2,1.77,0.4,0.5,2.2,10,5,0.96,7.9,0.74,4,1.5,3.5,3.5,3.67,5,3
3,7,145,18,2005,136,9379,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4.67,3,3,3,3,5,3
3,2,142,18,2008,135,9507,1,3,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,3,3,3,3,3
3,1,85,5,2008,82,9647,2,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,2.67,1.5,3,3,2,3.5,3
3,2,142,18,2008,135,9507,1,3,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,1.33,2.5,3,2.5,2,2.5,4
3,1,85,18,2001,95,11176,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,4,5,4,5,3.75
3,7,145,18,2010,136,9379,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,3.5,4.5,3.67,4.5,3
3,1,85,18,2000,95,11176,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,1.5,4,4.5,3,5,4
3,1,85,18,2012,86,10118,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,4.5,3.5,4,4.67,5,2.5
3,1,83,6,2010,88,10602,2,2,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.67,2.5,3,3,2.67,4,3.75
3,2,142,19,2012,135,9507,2,3,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,2,3,3.33,4,2.75
3,3,81,6,2009,84,10370,2,2,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,2.5,4.5,3.5,5,5,3.25
3,2,159,18,2014,136,8533,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,3,3,3,3.33,3.5,3.5
3,6,143,18,2011,138,9650,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3.5,3.5,3.5,4.33,3.5,4.25
3,1,82,6,2007,85,10366,2,1,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,4,2.5,4,4,3.5,3.5
3,1,86,11,2012,95,11047,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,4,4,3.33,4,3.75
3,5,145,19,2012,138,9517,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,3,3,3,3,3
3,4,86,18,2012,95,11047,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,5,5,5,4,5,5,3.75
3,5,159,18,2012,150,9411,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,3,3.5,3,3.67,5,4
3,1,80,6,2010,82,10250,2,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,3,2,2.67,3,2.5
3,1,81,5,2012,83,10247,1,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,3,4,4.5,2.67,4,4.75
3,1,85,5,2008,82,9647,2,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4.33,5,3.5,3,3,5,3.25
3,1,86,18,2012,105,12209,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,1,3,5,2.67,5,3
3,5,142,19,2012,135,9507,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,2.33,1,1,5,1.33,5,1.5
3,1,85,18,2012,90,10588,1,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,2,2.5,3.5,2.67,3,3.75
3,1,85,18,2011,88,10353,1,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,3,2.5,3.5,3.33,3.5,3
3,1,85,18,2012,88,10353,2,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,3,3,3,3,3
3,1,85,18,2011,86,10118,1,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,3,4,3,3.33,5,3.75
3,1,86,18,2012,95,11047,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,5,3.5,5,4,5,5,5
3,1,86,5,2005,85,9884,2,1,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.67,1.5,3.5,4,4.33,5,4.5
3,1,86,18,2012,90,10465,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.67,3,2,4,3,5,3.25
3,4,86,6,2008,88,10233,2,2,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.67,2,3,4,2.67,4,4
3,1,86,18,2012,87,10116,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4.67,3,3.5,5,3.33,5,4.75
3,1,76,6,2008,79,10282,1,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,3,5,4.5,4,5,2.75
3,1,86,19,2012,90,10465,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,1.5,3.5,3,3,5,3
3,1,85,19,2012,86,10118,2,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,1,4.5,4.5,5,5,5
3,1,85,19,2012,85,10000,2,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4.33,1,5,3.5,4.33,5,2.75
3,1,86,19,2012,86,10000,2,2,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,3,2,3,2.33,3,3
3,1,85,18,2012,85,10000,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,1.5,4,5,5,4,3
3,7,159,18,2012,136,8533,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3,2.5,2,4,3,5,3
3,1,77,6,2008,79.5,10325,1,4,2,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,1.5,4.5,3,4,5,3.5
3,1,85,18,2012,92,10824,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,3,3.5,2.5,3.67,4,3
3,1,85,18,2006,87,10235,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,2.5,4,4,4,4,3.75
3,7,159,18,2012,136,8533,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.33,1.5,2,3.5,3.33,4,2.75
3,1,85,18,2012,95,11176,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,2,3,2,2.5,3.33,3.5,2.25
3,1,85,18,2008,95,11176,1,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,4,2,4.5,3,2.67,5,3
3,1,85,18,2003,95,11176,2,1,1,1.8,0.1,1.2,2.3,7,3,2.2,5.3,2,3.67,2,3,3.5,3.67,5,3.5
